author,comment_count,id,is_kongu_related,is_palladam_related,like_count,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,parent_id,parties_mentioned,platform,reaction_count,region,reply_count,retweet_count,source,text,timestamp,title,type,url,view_count
NewsTamil 24X7,,WL0tE6UlPWg,True,,,neutral,0.8048,0.9302,,dmk,youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:31.627782,🔴LIVE : திமுக மேற்கு மண்டல வாக்குச்சாவடி முகவர்கள் மாநாடு | DMK | MK Stalin | Coimbatore,post,https://www.youtube.com/watch?v=WL0tE6UlPWg,5052
NewsTamil 24X7,,sYHfbV_q1Oo,False,,,neutral,0.5129,0.4651,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:31.627782,இடியாய் முழங்கிய செந்தில் பாலாஜி.. குலுங்கிய கொங்கு | SenthilBalaji Speech | Dmk Meeting,post,https://www.youtube.com/watch?v=sYHfbV_q1Oo,38709
Malaimurasu Tv 24X7,,9-nUMGrLuQ0,True,,,neutral,0.5856,0.9302,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.869242,DMK வேட்பாளர் | Erode Modakurichi | Stalin | TN Election News,post,https://www.youtube.com/watch?v=9-nUMGrLuQ0,120054
PuthiyathalaimuraiTV,,a_F5oqZA1MU,True,,,neutral,0.5189,0.9302,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.869242,DMK MP Tiruchi Siva Full Speech In DMK Conference At Erode | #MKStalin #DMK #TrichySiva #Karunanidhi,post,https://www.youtube.com/watch?v=a_F5oqZA1MU,289370
India Today,,ZCHyHRgYBN8,True,,,negative,0.5616,1.3953,,"dmk,admk,tvk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.869242,TVK Chief Vijay Brands DMK 'Evil Force' At Erode Rally; Ex-Minister Sengottaiyan Joins Party,post,https://www.youtube.com/watch?v=ZCHyHRgYBN8,4044
Malaimurasu Tv 24X7,,Hgz39MI-92c,True,,,neutral,0.6977,0.9302,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.869242,🔴 LIVE : DMK வேட்பாளர் | Erode Modakurichi | Stalin | TN Election News,post,https://www.youtube.com/watch?v=Hgz39MI-92c,7909
PuthiyathalaimuraiTV,,dvP0DxgonaA,True,,,neutral,0.6455,1.8605,,"dmk,admk,tvk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.869242,விஜய் பேச்சு- கொந்தளித்த திமுக | TVK Vijay Full Speech | Erode  | DMK,post,https://www.youtube.com/watch?v=dvP0DxgonaA,39854
NewsTamil 24X7,,g3YpttKsB3M,True,,,negative,0.6776,0.4651,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868696,SIR எதிர்ப்பு.. திமுக கூட்டணி ஆர்ப்பாட்டத்தில் சலசலப்பு.. | Erode | DMK Protest | SIR | TN Govt,post,https://www.youtube.com/watch?v=g3YpttKsB3M,2879
Thanthi TV,,q4nlrrFFyRU,True,,,neutral,0.5554,0.4651,,"dmk,admk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:28.868696,DMK | Erode | ஈரோடு கிழக்கில் போட்டியிட ஆயத்தமாகும் திமுகவின் பழனியப்பா செந்தில்,post,https://www.youtube.com/watch?v=q4nlrrFFyRU,3493
NewsTamil 24X7,,IsJPQFfiD4s,False,,,neutral,0.6186,0.9302,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:28.868696,Tvk Vijay Candidate List | Vijay changed the candidate list,post,https://www.youtube.com/watch?v=IsJPQFfiD4s,32746
