platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,post,ogySGDd9jjs,,https://www.youtube.com/watch?v=ogySGDd9jjs,Hindu Tamil Thisai,அதிமுக Vs திமுக Vs தவெக | கொங்கு ‘கிங்’ யார்? | AIADMK vs DMK vs TVK | Election 2026,,,,32382,,,,scrapy_youtube,2026-03-30T21:58:33.821944,"dmk,admk,tvk",False,neutral,0.8306,2.3256,unknown
youtube,post,sOHulu_snH8,,https://www.youtube.com/watch?v=sOHulu_snH8,King 360,கொங்கு மண்டலத்தில் வெற்றி யாருக்கு ? திமுக vs அதிமுக || 📊 TN Election 2026 Opinion Poll | Kongu Zone,,,,96485,,,,scrapy_youtube,2026-03-30T21:58:33.821944,"dmk,admk",False,neutral,0.7874,0.4651,unknown
youtube,post,d5YnxxaDkxc,,https://www.youtube.com/watch?v=d5YnxxaDkxc,NewsTamil 24X7,#BREAKING ||admk Candidate List |வெளியானது அதிமுக வேட்பாளர் பட்டியல்.. மிரளவைக்கும் முக்கிய முகங்கள்,,,,6166,,,,scrapy_youtube,2026-03-30T21:58:33.821944,"dmk,admk",False,neutral,0.7162,1.3953,unknown
youtube,post,zXUIBvfxCxk,,https://www.youtube.com/watch?v=zXUIBvfxCxk,NewsTamil 24X7,NewsTamil Kazhugu | கொங்கு மண்டலம் : குஷியில் அதிமுக.. குழப்பத்தில் திமுக! | DMK | ADMK,,,,3200,,,,scrapy_youtube,2026-03-30T21:58:33.820427,"dmk,admk",False,negative,0.6391,1.3953,unknown
youtube,post,aSvgVsCHPzA,,https://www.youtube.com/watch?v=aSvgVsCHPzA,JFW Binge,DMK MK Stalin vs TVK Vijay Political War Begins🔥Rangaraj Pandey Drops Political Bomb💥Full Goosebumps,,,,1152111,,,,scrapy_youtube,2026-03-30T21:58:31.631319,"dmk,tvk",False,neutral,0.3905,1.8605,unknown
youtube,post,SDXtMOFKJtk,,https://www.youtube.com/watch?v=SDXtMOFKJtk,King 360,கொங்கு மண்டலத்தில் திமுக அதிரடி..!சரவெடி கொடுத்த சபரீசன் | Kongu Zone | Sabareesan | DMK | MK Stalin,,,,59919,,,,scrapy_youtube,2026-03-30T21:58:31.630300,dmk,False,neutral,0.5232,0.9302,unknown
youtube,post,rEXg2Y7WniI,,https://www.youtube.com/watch?v=rEXg2Y7WniI,Malaimurasu Tv 24X7,🔴 BREAKING : 'கோவை DMK இளைஞரணி மாநாடு..!' | DMK | Udhayanithi | CM Stalin | Coimbatore,,,,7305,,,,scrapy_youtube,2026-03-30T21:58:31.630300,dmk,True,neutral,0.6226,0.9302,coimbatore
youtube,post,9XYEnW9_y6Q,,https://www.youtube.com/watch?v=9XYEnW9_y6Q,Erode Rooster,Kongu Farms Chennimalai Dm number +91 96779 43449 #seval #roosterfarm ,,,,917,,,,scrapy_youtube,2026-03-30T21:58:31.630300,dmk,True,neutral,0.8342,0.0,erode
youtube,post,dm-fUE5wFM4,,https://www.youtube.com/watch?v=dm-fUE5wFM4,PuthiyathalaimuraiTV,மதுரை மாநகராட்சியின் 100 வார்டுகளில் 80ல் திமுக கூட்டணி வெற்றி,,,,25246,,,,scrapy_youtube,2026-03-30T21:58:31.630300,dmk,False,neutral,0.6607,0.0,unknown
youtube,post,Ok6gK5LIod0,,https://www.youtube.com/watch?v=Ok6gK5LIod0,King 360,ஒத்தைக்கு ஒத்தை ரெடியா ? தங்கமணிக்கு சவால் விடும் கொங்கு ஈஸ்வரன் ! |King360|,,,,40930,,,,scrapy_youtube,2026-03-30T21:58:31.630300,dmk,False,negative,0.5028,0.0,unknown
youtube,post,7_I2NyUwwdc,,https://www.youtube.com/watch?v=7_I2NyUwwdc,Sun News,தற்போது வரை திமுக கூட்டணி முன்னிலை நிலவரம் | dmk leading,,,,17228,,,,scrapy_youtube,2026-03-30T21:58:31.628785,dmk,False,neutral,0.8772,0.4651,unknown
youtube,post,R6kBaMffMIQ,,https://www.youtube.com/watch?v=R6kBaMffMIQ,News18 Tamil Nadu,DMK Magalir Maanadu | திமுக மகளிர் மாநாடு: கலை நிகழ்ச்சிகளுடன் தொடக்கம்! | Palladam,,,,14290,,,,scrapy_youtube,2026-03-30T21:58:31.628785,dmk,True,neutral,0.715,0.9302,tiruppur
youtube,post,QFPWydUCTIc,,https://www.youtube.com/watch?v=QFPWydUCTIc,Sathiyam News,🔴LIVE: DMK Kovai Maanadu | கோவையை அதிர விடும் திமுக இளைஞர் அணி பிரமாண்ட மாநாடு,,,,16301,,,,scrapy_youtube,2026-03-30T21:58:31.628785,dmk,True,neutral,0.4206,0.4651,coimbatore
youtube,post,76vxl4auMqc,,https://www.youtube.com/watch?v=76vxl4auMqc,Sathiyam News,🔴LIVE:  DMK Alliance | திமுக + தொகுதி பங்கீடு  - யார் யாருக்கு எவ்வளவு தொகுதி?,,,,83242,,,,scrapy_youtube,2026-03-30T21:58:31.628785,dmk,False,neutral,0.9323,0.4651,unknown
